category,new_name,source,status,width,height,sha1_12,note
00_assets_deja_dans_app,app_luna_adulte_avatar_current.jpg,C:\Users\saint\Documents\Codex\2026-05-25\luna-server\static\assets\luna_avatar.jpg,copied,400,600,529a3258d7f0,Avatar Luna adulte deja integre dans app.
00_assets_deja_dans_app,app_luna_enfant_current.png,C:\Users\saint\Documents\Codex\2026-05-25\luna-server\static\assets\luna_enfant.png,copied,1402,1122,fd9e3e63fbab,Luna enfant deja integree dans app.
00_assets_deja_dans_app,app_aby_adulte_avatar_current.jpg,C:\Users\saint\Documents\Codex\2026-05-25\luna-server\static\assets\aby_avatar.jpg,copied,400,661,0953d0f1ed92,Avatar Aby adulte deja integre dans app.
00_assets_deja_dans_app,app_aby_enfant_current.png,C:\Users\saint\Documents\Codex\2026-05-25\luna-server\static\assets\aby_enfant.png,copied,1402,1122,491d0999f038,Aby enfant deja integree dans app.
00_assets_deja_dans_app,app_yawatch_logo_current.png,C:\Users\saint\Documents\Codex\2026-05-25\luna-server\static\assets\yawatch_logo.png,copied,300,300,a263703b690b,Logo YAWatch deja integre dans app.
01_luna_adulte,luna_adulte_ceo_01.png,"C:\Users\saint\Downloads\ChatGPT Image Jun 7, 2026, 11_35_28 AM.png",copied,1536,1024,3a35648f8253,"Luna adulte CEO, image premium la plus recente, format paysage. CANDIDAT CANON."
01_luna_adulte,luna_adulte_ceo_02_landscape.png,"C:\Users\saint\Downloads\ChatGPT Image May 23, 2026, 01_10_57 AM.png",copied,1537,1023,077362b3bec5,"Luna adulte CEO avec Luna enfant dans le decor, tres utile pour la mythologie."
01_luna_adulte,luna_adulte_ceo_03_portrait.png,"C:\Users\saint\Downloads\ChatGPT Image May 23, 2026, 01_09_32 AM.png",copied,1024,1535,251d0f40f886,"Luna adulte CEO format vertical, utile Shorts/fiche personnage."
01_luna_adulte,luna_adulte_reference_realiste_01.jpg,C:\Users\saint\Downloads\luna.photo.adulte.jpg,copied,1366,2048,a31b6f87fb92,"Reference visage adulte plus realiste/cinematique, a garder comme source."
02_luna_enfant,luna_enfant_chambre_poupee_01.png,"C:\Users\saint\Downloads\ChatGPT Image May 23, 2026, 01_28_23 AM.png",copied,1402,1122,fd9e3e63fbab,"Luna enfant dans la chambre avec poupee, CANDIDAT CANON enfance."
02_luna_enfant,luna_enfant_maquette_ville_01.png,"C:\Users\saint\Downloads\ChatGPT Image May 23, 2026, 01_32_22 AM.png",misclassified_reference,1402,1122,491d0999f038,"ATTENTION: cette image correspond a Aby enfant canon APK, pas Luna. Gardee seulement comme trace historique; utiliser 03_aby/aby_enfant_canon_apk_maquette_ville_01.png."
03_aby,aby_character_sheet_01.png,"C:\Users\saint\Downloads\ChatGPT Image May 23, 2026, 01_48_03 AM.png",copied,1023,1537,b12bb33f992a,"Planche Aby adulte/enfant, tres utile pour stabiliser son design."
03_aby,aby_character_sheet_02.png,"C:\Users\saint\Downloads\ChatGPT Image May 23, 2026, 01_45_21 AM.png",copied,1086,1448,649e18b6b683,"Planche Aby alternative, plus sombre et strategique."
04_univers_et_decors,yawatch_logo_dark_01.png,"C:\Users\saint\Downloads\ChatGPT Image May 23, 2026, 01_50_57 AM.png",copied,1254,1254,7ad6f695ad50,Logo YAWatch Industries noir/premium.
04_univers_et_decors,monde_luna_transition_cosmique_01.jpg,C:\Users\saint\Downloads\pensée.de.luna.transistion.imaginaire.jpg,copied,2048,1463,484ca5c377c8,"Transition imaginaire/cosmique, utile entre reel et monde interieur."
04_univers_et_decors,decor_salon_violet_01.jpg,C:\Users\saint\Downloads\decore.luna2.jpg,copied,2048,1365,f836fe76ef1a,"Salon violet stylise, decor possible pour scenes nocturnes."
04_univers_et_decors,decor_chambre_poupee_nuit_01.jpg,C:\Users\saint\Downloads\lunadoll .decore.jpg,copied,1400,800,7a1c9b74214e,"Decor sombre poupee/chambre, utile enfance/mystere."
04_univers_et_decors,decor_salon_moderne_noir_01.png,C:\Users\saint\Downloads\Modern minimalist living room design.png,copied,1536,1024,5a22899d5a28,"Decor salon moderne, a valider pour scenes famille/adulte."
04_univers_et_decors,scene_route_brume_dos_personnage_01.jpg,C:\Users\saint\Downloads\personage.de.dos.amislunaphoto.jpg,copied,600,337,eb1ee5ac220b,"Scene de dos/brume/route, possible episode fuite ou souvenir."
05_objets_symboliques_poupees,poupee_luna_violette_01.jpg,C:\Users\saint\Downloads\lunadoll .photo1.jpg,copied,1366,2048,3d2f90ac3cc6,"Poupee violette propre, objet symbole Luna enfant."
05_objets_symboliques_poupees,poupee_luna_portrait_02.jpg,C:\Users\saint\Downloads\lunadoll.photo2.jpg,copied,1365,2048,584070c17981,"Poupee ancienne plus sombre, tension dramatique."
05_objets_symboliques_poupees,poupee_luna_portrait_03.jpg,C:\Users\saint\Downloads\lunadoll.photo3.jpg,copied,1365,2048,09499c69d675,"Poupee ancienne douce/rose, reference objet."
05_objets_symboliques_poupees,poupee_luna_allongee_04.jpg,C:\Users\saint\Downloads\lunadoll.photo.4.jpg,copied,2048,1399,6feb331aa70c,"Poupee allongee, possible symbole de souvenir/perte."
06_personnages_secondaires_a_valider,personnage_stress_palette_01.jpg,C:\Users\saint\Downloads\photo.personnage.stress.jpg,copied,480,480,143f69e71bfd,"Personnage masculin noir stresse. A developper en personnage important: plusieurs portraits, parents, liens avec Luna/Aby."
07_documents_reference_a_valider,schema_llm_contextes_01.png,"C:\Users\saint\Downloads\ChatGPT Image May 17, 2026, 11_53_22 AM (2).png",copied,1536,1024,5221b189e869,"Document technique, pas personnage, a garder hors bible visuelle."
07_documents_reference_a_valider,schema_llm_chaos_sens_01.png,"C:\Users\saint\Downloads\ChatGPT Image May 17, 2026, 11_53_18 AM (1).png",copied,1024,1536,4f636bb8340e,"Document technique, pas personnage, a garder hors bible visuelle."
06_personnage_masculin_noir,personnage_masculin_noir_planche_reference_01.png,"C:\Users\saint\Downloads\ChatGPT Image Jun 9, 2026, 06_46_17 PM.png",copied,941,1672,72798b4fd8a0,"Planche de reference complete du personnage masculin noir: portraits, solitude, parents, famille."
06_personnage_masculin_noir,personnage_masculin_noir_portrait_face_stresse_01.png,"C:\Users\saint\Downloads\ChatGPT Image Jun 9, 2026, 06_46_17 PM.png",copied,311,416,18d9f000e4c5,"Portrait face, stress intense, lumiere violet/bleu."
06_personnage_masculin_noir,personnage_masculin_noir_portrait_trois_quarts_calme_01.png,"C:\Users\saint\Downloads\ChatGPT Image Jun 9, 2026, 06_46_17 PM.png",copied,309,416,eb95779cfe89,"Portrait 3/4, calme fatigue, regard interieur."
06_personnage_masculin_noir,personnage_masculin_noir_portrait_profil_01.png,"C:\Users\saint\Downloads\ChatGPT Image Jun 9, 2026, 06_46_17 PM.png",copied,316,416,0cb36a68a512,"Profil dramatique, lumiere violette."
06_personnage_masculin_noir,personnage_masculin_noir_scene_salon_seul_01.png,"C:\Users\saint\Downloads\ChatGPT Image Jun 9, 2026, 06_46_17 PM.png",copied,468,311,3eb74cf270aa,"Assis seul dans un salon sombre, moment de crise."
06_personnage_masculin_noir,personnage_masculin_noir_scene_fenetre_nuit_01.png,"C:\Users\saint\Downloads\ChatGPT Image Jun 9, 2026, 06_46_17 PM.png",copied,472,311,53df250a206d,Debout de dos devant la fenetre la nuit.
06_personnage_masculin_noir,personnage_masculin_noir_photo_famille_floue_01.png,"C:\Users\saint\Downloads\ChatGPT Image Jun 9, 2026, 06_46_17 PM.png",copied,468,311,aee09b2baeb0,Regarde une vieille photo de famille floue.
06_personnage_masculin_noir,personnage_masculin_noir_avec_mere_01.png,"C:\Users\saint\Downloads\ChatGPT Image Jun 9, 2026, 06_46_17 PM.png",copied,472,311,0cea34b5f059,"Avec sa mere, soutien tendre."
06_personnage_masculin_noir,personnage_masculin_noir_avec_pere_01.png,"C:\Users\saint\Downloads\ChatGPT Image Jun 9, 2026, 06_46_17 PM.png",copied,468,305,e3030c1f2eda,"Face a son pere, tension silencieuse."
06_personnage_masculin_noir,personnage_masculin_noir_avec_parents_01.png,"C:\Users\saint\Downloads\ChatGPT Image Jun 9, 2026, 06_46_17 PM.png",copied,472,305,1ab38d7978ca,"Photo avec ses deux parents, base famille."
06_personnage_masculin_noir,personnage_masculin_noir_portrait_intense_02.png,"C:\Users\saint\Downloads\ChatGPT Image Jun 9, 2026, 06_46_17 PM.png",copied,299,312,5ae60e1b78e7,"Portrait frontal intense, possible miniature Shorts."
06_personnage_masculin_noir,malik_jouet_symbolique_enfance_01.png,C:\Users\saint\.codex\generated_images\019ead0f-c980-7510-92e2-2d3304a184c1\ig_0fe79e301eec0028016a2849c97d448191a86450c8e1df71fd.png,generated,941,1672,8ee954b33e2d,Jouet symbolique representant l enfance de Malik sans montrer d enfant reel. Motif recurrent canon.
06_personnage_masculin_noir,malik_mere_portrait_cadre_01.png,crop from validated Malik board,cropped,225,311,fe9079832a66,"Portrait recadre de la mere de Malik, extrait de la scene mere/fils."
06_personnage_masculin_noir,malik_pere_portrait_cadre_01.png,crop from validated Malik board,cropped,223,305,8c537f8aea37,"Portrait recadre du pere de Malik, extrait de la scene pere/fils."
06_personnage_masculin_noir,malik_mere_portrait_famille_01.png,crop from validated Malik board,cropped,170,305,509eb2716d55,Portrait de la mere de Malik extrait de la photo familiale.
06_personnage_masculin_noir,malik_pere_portrait_famille_01.png,crop from validated Malik board,cropped,167,305,5baa0837b63f,Portrait du pere de Malik extrait de la photo familiale.
08_visuels_cles,visuel_cle_luna_aby_malik_objets_01.png,C:\Users\saint\.codex\generated_images\019ead0f-c980-7510-92e2-2d3304a184c1\ig_0fe79e301eec0028016a284b93071c8191b515f19285a9240e.png,generated,941,1672,ad3a95b152ec,"Visuel cle symbolique : poupee Luna, jeton Aby, jouet Malik. Affiche silencieuse de la saison 1."
09_decors_paris_la_defense/pack_01_yawatch_industries,yawatch_tour_la_defense_exterieur_jour_01.png,"C:\Users\saint\Downloads\ChatGPT Image Jun 9, 2026, 07_56_21 PM.png",cropped_clean,474,500,dbc25b166f0d,"Tour YAWatch Industries exterieur jour, La Defense."
09_decors_paris_la_defense/pack_01_yawatch_industries,yawatch_tour_la_defense_exterieur_nuit_01.png,"C:\Users\saint\Downloads\ChatGPT Image Jun 9, 2026, 07_56_21 PM.png",cropped_clean,474,500,d82d38603205,"Tour YAWatch Industries exterieur nuit, La Defense."
09_decors_paris_la_defense/pack_01_yawatch_industries,yawatch_hall_accueil_premium_01.png,"C:\Users\saint\Downloads\ChatGPT Image Jun 9, 2026, 07_56_21 PM.png",cropped_clean,474,470,189a2e705045,"Hall accueil premium YAWatch Industries, nettoye sans numero."
09_decors_paris_la_defense/pack_01_yawatch_industries,luna_bureau_la_defense_jour_01.png,"C:\Users\saint\Downloads\ChatGPT Image Jun 9, 2026, 07_56_21 PM.png",cropped_clean,474,470,262aa910385e,"Bureau lumineux de Luna, vue La Defense, nettoye sans numero."
09_decors_paris_la_defense/pack_01_yawatch_industries,luna_bureau_la_defense_bascule_01.png,"C:\Users\saint\Downloads\ChatGPT Image Jun 9, 2026, 07_56_21 PM.png",cropped_clean,474,470,24e1c0d70782,"Bureau Luna en mode bascule, froid et nocturne, nettoye sans numero."
09_decors_paris_la_defense/pack_01_yawatch_industries,aby_bureau_la_defense_01.png,"C:\Users\saint\Downloads\ChatGPT Image Jun 9, 2026, 07_56_21 PM.png",cropped_clean,474,470,c9e64c012218,"Bureau Aby, froid, strategique, vue urbaine, nettoye sans numero."
09_decors_paris_la_defense/pack_01_yawatch_industries,yawatch_tour_la_defense_exterieur_jour_logo_01.png,yawatch_tour_la_defense_exterieur_jour_01.png + true YAWatch logo,logo_overlay,474,500,80055317044b,Version jour avec vrai logo YAWatch discret.
09_decors_paris_la_defense/pack_01_yawatch_industries,yawatch_tour_la_defense_exterieur_nuit_logo_01.png,yawatch_tour_la_defense_exterieur_nuit_01.png + true YAWatch logo,logo_overlay,474,500,7df965ee0c9d,Version nuit avec vrai logo YAWatch discret.
09_decors_paris_la_defense/pack_01_yawatch_industries,yawatch_hall_accueil_premium_logo_01.png,yawatch_hall_accueil_premium_01.png + true YAWatch logo,logo_overlay,474,470,d0ce69c79211,Hall avec vrai logo YAWatch discret.
09_decors_paris_la_defense/pack_01_yawatch_industries,luna_bureau_la_defense_jour_logo_01.png,luna_bureau_la_defense_jour_01.png + true YAWatch logo,logo_overlay,474,470,4830d2d189d4,Bureau Luna avec logo discret.
09_decors_paris_la_defense/pack_01_yawatch_industries,aby_bureau_la_defense_logo_01.png,aby_bureau_la_defense_01.png + true YAWatch logo,logo_overlay,474,470,5841b3f4d305,Bureau Aby avec logo discret.
09_decors_paris_la_defense/pack_05_appartements_vie_normale,appartement_malik_jour_01.png,"C:\Users\saint\Downloads\ChatGPT Image Jun 10, 2026, 12_05_52 AM.png",validated,468,555,c557f8588482,"Appartement Malik jour, lumiere naturelle, Paris credible."
09_decors_paris_la_defense/pack_05_appartements_vie_normale,appartement_malik_bascule_01.png,"C:\Users\saint\Downloads\ChatGPT Image Jun 10, 2026, 12_05_52 AM.png",validated,469,555,11675684ed7e,"Appartement Malik bascule, ambiance froide et subtilement inquietante."
09_decors_paris_la_defense/pack_05_appartements_vie_normale,chambre_luna_jour_01.png,"C:\Users\saint\Downloads\ChatGPT Image Jun 10, 2026, 12_05_52 AM.png",validated,468,553,cf36ecbd1eca,"Chambre Luna jour, vie normale lumineuse."
09_decors_paris_la_defense/pack_05_appartements_vie_normale,chambre_luna_souvenir_sans_personnage_01.png,"C:\Users\saint\Downloads\ChatGPT Image Jun 10, 2026, 12_12_03 AM.png",validated,941,1672,7436265c47d4,"Chambre Luna souvenir corrigee, sans enfant/personnage visible."
09_decors_paris_la_defense/pack_05_appartements_vie_normale,cuisine_familiale_paris_matin_01.png,"C:\Users\saint\Downloads\ChatGPT Image Jun 10, 2026, 12_05_52 AM.png",validated,468,496,f72939d796cb,"Cuisine familiale parisienne matin, recadree sans artefact."
09_decors_paris_la_defense/pack_05_appartements_vie_normale,cage_escalier_parisienne_01.png,"C:\Users\saint\Downloads\ChatGPT Image Jun 10, 2026, 12_05_52 AM.png",validated,469,556,9f454e86a1f2,Cage escalier parisienne credible.
09_decors_paris_la_defense/pack_02_la_defense_quotidienne,la_defense_esplanade_jour_01.png,"C:\Users\saint\Downloads\ChatGPT Image Jun 10, 2026, 12_59_44 AM.png",validated,468,555,5bfcbbe72f6f,"Esplanade de La Defense jour, vie normale, cadres/passants."
09_decors_paris_la_defense/pack_02_la_defense_quotidienne,la_defense_esplanade_fin_journee_01.png,"C:\Users\saint\Downloads\ChatGPT Image Jun 10, 2026, 12_59_44 AM.png",validated,469,555,f5d919c5f600,"Esplanade de La Defense fin de journee, lumiere doree."
